LoginID,ClientID,orderId,OrderReferenceID,TWSAPI,exchangeOrderId,variety,exchange,brokerToken,transactionType,orderType,productType,TimeInForce,price,orderQuantity,triggerPrice,orderStatus,tradedPrice,pendingQuantity,CumulativeQuantity,OrderDisclosedQuantity,orderTimestamp,exchangeTimestamp,symbol,lastUpdateTimestamp,OrderExpiryDate,message,orderTag,OrderLegStatus,BoLegDetails,IsSpread,BoEntryOrderId,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,parentOrderId,filledQuantity,amount,date
KB311,KB311,1100025993,,TWSAPI,1100000002825310.0,NORMAL,NSEFO,54030,BUY,Limit,MIS,DAY,87.9,50,0.0,Filled,87.9,0,50,0,2023-04-19 09:20:05,19-04-2023 09:42:40,NIFTY 20APR2023 PE 17700,2023-04-19 09:42:38,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4395.0,2023-04-19
KB311,KB311,1100026148,,TWSAPI,1100000002891884.0,NORMAL,NSEFO,53992,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.0,0,50,0,2023-04-19 09:20:10,19-04-2023 09:20:12,NIFTY 20APR2023 PE 16900,2023-04-19 09:20:10,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,50.0,2023-04-19
KB311,KB311,1100026149,,TWSAPI,1000000002400415.0,NORMAL,NSEFO,54057,BUY,Limit,MIS,DAY,1.3,50,0.0,Filled,1.1,0,50,0,2023-04-19 09:20:10,19-04-2023 09:20:12,NIFTY 20APR2023 CE 18400,2023-04-19 09:20:10,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,55.00000000000001,2023-04-19
KB311,KB311,1100026154,,TWSAPI,1100000002892490.0,NORMAL,NSEFO,53992,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.0,0,50,0,2023-04-19 09:20:10,19-04-2023 09:20:12,NIFTY 20APR2023 PE 16900,2023-04-19 09:20:10,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,50.0,2023-04-19
KB311,KB311,1100026157,,TWSAPI,1100000002893075.0,NORMAL,NSEFO,53992,BUY,Limit,MIS,DAY,1.25,50,0.0,Filled,1.05,0,50,0,2023-04-19 09:20:10,19-04-2023 09:20:12,NIFTY 20APR2023 PE 16900,2023-04-19 09:20:10,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,52.5,2023-04-19
KB311,KB311,1100026159,,TWSAPI,1000000002401457.0,NORMAL,NSEFO,54057,BUY,Limit,MIS,DAY,1.3,50,0.0,Filled,1.1,0,50,0,2023-04-19 09:20:10,19-04-2023 09:20:12,NIFTY 20APR2023 CE 18400,2023-04-19 09:20:10,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,55.00000000000001,2023-04-19
KB311,KB311,1100026161,,TWSAPI,1000000002403989.0,NORMAL,NSEFO,54057,BUY,Limit,MIS,DAY,1.3,50,0.0,Filled,1.1,0,50,0,2023-04-19 09:20:10,19-04-2023 09:20:12,NIFTY 20APR2023 CE 18400,2023-04-19 09:20:10,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,55.00000000000001,2023-04-19
KB311,KB311,1100026317,,TWSAPI,1000000002439010.0,NORMAL,NSEFO,54025,SELL,Limit,MIS,DAY,64.65,50,0.0,Filled,72.5,0,50,0,2023-04-19 09:20:13,19-04-2023 09:21:10,NIFTY 20APR2023 CE 17600,2023-04-19 09:21:08,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,3625.0,2023-04-19
KB311,KB311,1100026318,,TWSAPI,1100000002940664.0,NORMAL,NSEFO,54030,SELL,Limit,MIS,DAY,85.55,50,0.0,Filled,86.0,0,50,0,2023-04-19 09:20:13,19-04-2023 09:20:14,NIFTY 20APR2023 PE 17700,2023-04-19 09:20:13,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,4300.0,2023-04-19
KB311,KB311,1100026319,,TWSAPI,1000000002439129.0,NORMAL,NSEFO,54025,SELL,Limit,MIS,DAY,64.65,50,0.0,Filled,72.6,0,50,0,2023-04-19 09:20:13,19-04-2023 09:21:10,NIFTY 20APR2023 CE 17600,2023-04-19 09:21:09,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50,3629.9999999999995,2023-04-19
