LoginID,ClientID,orderId,OrderReferenceID,TWSAPI,exchangeOrderId,variety,exchange,brokerToken,transactionType,orderType,productType,TimeInForce,price,orderQuantity,triggerPrice,orderStatus,tradedPrice,pendingQuantity,CumulativeQuantity,OrderDisclosedQuantity,orderTimestamp,exchangeTimestamp,symbol,lastUpdateTimestamp,OrderExpiryDate,message,orderTag,OrderLegStatus,BoLegDetails,IsSpread,BoEntryOrderId,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber,parentOrderId,filledQuantity
KB188,KB188,1100026396,,TWSAPI,1000000002477660,NORMAL,NSEFO,54025,BUY,Limit,MIS,DAY,115.5,50,0.0,Filled,113.85,0,50,0,2023-04-19 09:20:16,19-04-2023 09:31:48,NIFTY 20APR2023 CE 17600,2023-04-19 09:31:46,01-01-1980 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100026397,,TWSAPI,1000000002477675,NORMAL,NSEFO,54025,BUY,Limit,MIS,DAY,52.2,50,0.0,Filled,52.2,0,50,0,2023-04-19 09:20:16,19-04-2023 13:43:03,NIFTY 20APR2023 CE 17600,2023-04-19 13:43:01,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100026398,,TWSAPI,1600000004127943,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.45,25,0.0,Filled,4.55,0,25,0,2023-04-19 09:20:16,19-04-2023 09:20:18,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:16,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026399,,TWSAPI,1000000002477907,NORMAL,NSEFO,54025,BUY,Limit,MIS,DAY,60.25,50,0.0,Filled,60.2,0,50,0,2023-04-19 09:20:16,19-04-2023 13:32:00,NIFTY 20APR2023 CE 17600,2023-04-19 13:31:59,01-01-0001 00:00:00,,IFNF,SingleOrderLeg,0,False,,9004,4,0,0,0,,50
KB188,KB188,1100026400,,TWSAPI,1800000003812154,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.7,25,0.0,Filled,4.7,0,25,0,2023-04-19 09:20:16,19-04-2023 09:20:18,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:16,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026401,,TWSAPI,1800000003812233,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.7,25,0.0,Filled,4.7,0,25,0,2023-04-19 09:20:16,19-04-2023 09:20:18,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:16,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026402,,TWSAPI,1600000004134041,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.4,25,0.0,Filled,4.55,0,25,0,2023-04-19 09:20:16,19-04-2023 09:20:18,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:16,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026403,,TWSAPI,1800000003817231,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.7,25,0.0,Filled,4.7,0,25,0,2023-04-19 09:20:16,19-04-2023 09:20:18,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:16,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026404,,TWSAPI,1600000004134114,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.4,25,0.0,Filled,4.55,0,25,0,2023-04-19 09:20:16,19-04-2023 09:20:18,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:16,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026432,,TWSAPI,1800000003829669,NORMAL,NSEFO,52867,SELL,Limit,MIS,DAY,131.5,25,0.0,Filled,160.2,0,25,0,2023-04-19 09:20:18,19-04-2023 09:20:36,BANKNIFTY 20APR2023 PE 42300,2023-04-19 09:20:34,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026433,,TWSAPI,1500000003791078,NORMAL,NSEFO,52870,SELL,Limit,MIS,DAY,123.7,25,0.0,Filled,125.75,0,25,0,2023-04-19 09:20:18,19-04-2023 09:20:19,BANKNIFTY 20APR2023 CE 42400,2023-04-19 09:20:18,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026434,,TWSAPI,1600000004148506,NORMAL,NSEFO,52866,SELL,Limit,MIS,DAY,171.65,25,0.0,Filled,174.85,0,25,0,2023-04-19 09:20:18,19-04-2023 09:20:19,BANKNIFTY 20APR2023 CE 42300,2023-04-19 09:20:18,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026435,,TWSAPI,1700000003973905,NORMAL,NSEFO,52865,SELL,Limit,MIS,DAY,98.85,25,0.0,Filled,118.3,0,25,0,2023-04-19 09:20:18,19-04-2023 09:20:32,BANKNIFTY 20APR2023 PE 42200,2023-04-19 09:20:30,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026445,,TWSAPI,1700000003978912,NORMAL,NSEFO,52881,SELL,Limit,MIS,DAY,175.05,25,0.0,Filled,211.05,0,25,0,2023-04-19 09:20:18,19-04-2023 09:20:37,BANKNIFTY 20APR2023 PE 42400,2023-04-19 09:20:35,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026446,,TWSAPI,1500000003796193,NORMAL,NSEFO,52862,SELL,Limit,MIS,DAY,232.5,25,0.0,Filled,235.25,0,25,0,2023-04-19 09:20:18,19-04-2023 09:20:20,BANKNIFTY 20APR2023 CE 42200,2023-04-19 09:20:18,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026460,,TWSAPI,1500000003800997,NORMAL,NSEFO,52870,BUY,Limit,MIS,DAY,74.25,25,0.0,Filled,74.05,0,25,0,2023-04-19 09:20:19,19-04-2023 10:03:01,BANKNIFTY 20APR2023 CE 42400,2023-04-19 10:02:59,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026461,,TWSAPI,1600000004159564,NORMAL,NSEFO,52866,BUY,Limit,MIS,DAY,100.35,25,0.0,Filled,100.35,0,25,0,2023-04-19 09:20:19,19-04-2023 10:06:00,BANKNIFTY 20APR2023 CE 42300,2023-04-19 10:05:59,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026490,,TWSAPI,1500000003807514,NORMAL,NSEFO,52862,BUY,Limit,MIS,DAY,162.8,25,0.0,Filled,162.8,0,25,0,2023-04-19 09:20:19,19-04-2023 10:02:00,BANKNIFTY 20APR2023 CE 42200,2023-04-19 10:01:59,01-01-0001 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026790,,TWSAPI,1600000004288582,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.4,25,0.0,Filled,4.6,0,25,0,2023-04-19 09:20:29,19-04-2023 09:20:30,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:29,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026791,,TWSAPI,1800000003955982,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.6,25,0.0,Filled,4.65,0,25,0,2023-04-19 09:20:29,19-04-2023 09:20:30,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:29,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026792,,TWSAPI,1800000003956216,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.6,25,0.0,Filled,4.65,0,25,0,2023-04-19 09:20:29,19-04-2023 09:20:30,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:29,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026793,,TWSAPI,1800000003956626,NORMAL,NSEFO,52765,BUY,Limit,MIS,DAY,5.6,25,0.0,Filled,4.65,0,25,0,2023-04-19 09:20:29,19-04-2023 09:20:31,BANKNIFTY 20APR2023 PE 40500,2023-04-19 09:20:29,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026794,,TWSAPI,1600000004289743,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.4,25,0.0,Filled,4.6,0,25,0,2023-04-19 09:20:29,19-04-2023 09:20:31,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:29,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026795,,TWSAPI,1600000004289831,NORMAL,NSEFO,52918,BUY,Limit,MIS,DAY,5.4,25,0.0,Filled,4.6,0,25,0,2023-04-19 09:20:29,19-04-2023 09:20:31,BANKNIFTY 20APR2023 CE 43500,2023-04-19 09:20:29,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026856,,TWSAPI,1700000004130261,NORMAL,NSEFO,52865,BUY,Limit,MIS,DAY,234.2,25,0.0,Filled,234.2,0,25,0,2023-04-19 09:20:31,19-04-2023 13:44:52,BANKNIFTY 20APR2023 PE 42200,2023-04-19 13:44:50,01-01-1980 00:00:00,,IF,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026858,,TWSAPI,1700000004130718,NORMAL,NSEFO,52881,SELL,Limit,MIS,DAY,210.6,25,0.0,Filled,210.6,0,25,0,2023-04-19 09:20:31,19-04-2023 09:20:33,BANKNIFTY 20APR2023 PE 42400,2023-04-19 09:20:31,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026859,,TWSAPI,1600000004310394,NORMAL,NSEFO,52866,SELL,Limit,MIS,DAY,171.65,25,0.0,Filled,173.55,0,25,0,2023-04-19 09:20:31,19-04-2023 09:20:32,BANKNIFTY 20APR2023 CE 42300,2023-04-19 09:20:31,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026860,,TWSAPI,1500000003945244,NORMAL,NSEFO,52862,SELL,Limit,MIS,DAY,232.5,25,0.0,Filled,233.75,0,25,0,2023-04-19 09:20:31,19-04-2023 09:20:32,BANKNIFTY 20APR2023 CE 42200,2023-04-19 09:20:31,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
KB188,KB188,1100026862,,TWSAPI,1700000004131066,NORMAL,NSEFO,52865,SELL,Limit,MIS,DAY,118.05,25,0.0,Filled,118.05,0,25,0,2023-04-19 09:20:31,19-04-2023 09:20:33,BANKNIFTY 20APR2023 PE 42200,2023-04-19 09:20:31,01-01-1980 00:00:00,,ONEHOURBO,SingleOrderLeg,0,False,,9004,4,0,0,0,,25
